date,canada,select
2004-01,16,0
2004-02,12,0
2004-03,13,0
2004-04,11,0
2004-05,15,0
2004-06,26,0
2004-07,26,0
2004-08,25,0
2004-09,23,0
2004-10,100,1
2004-11,21,0
2004-12,18,0
2005-01,17,0
2005-02,14,0
2005-03,15,0
2005-04,10,0
2005-05,15,0
2005-06,17,0
2005-07,23,0
2005-08,16,0
2005-09,18,0
2005-10,16,0
2005-11,10,0
2005-12,7,0
2006-01,13,0
2006-02,12,0
2006-03,13,0
2006-04,16,0
2006-05,13,0
2006-06,14,0
2006-07,14,0
2006-08,13,0
2006-09,11,0
2006-10,12,0
2006-11,9,0
2006-12,9,0
2007-01,12,0
2007-02,10,0
2007-03,12,0
2007-04,11,0
2007-05,11,0
2007-06,14,0
2007-07,26,2
2007-08,18,0
2007-09,15,0
2007-10,13,0
2007-11,16,0
2007-12,13,0
2008-01,14,0
2008-02,14,0
2008-03,14,0
2008-04,14,0
2008-05,13,0
2008-06,15,0
2008-07,17,0
2008-08,14,0
2008-09,19,0
2008-10,17,0
2008-11,13,0
2008-12,9,0
2009-01,11,0
2009-02,11,0
2009-03,12,0
2009-04,13,0
2009-05,11,0
2009-06,12,0
2009-07,12,0
2009-08,16,0
2009-09,12,0
2009-10,12,0
2009-11,10,0
2009-12,8,0
2010-01,10,0
2010-02,14,0
2010-03,12,0
2010-04,8,0
2010-05,12,0
2010-06,13,0
2010-07,12,0
2010-08,11,0
2010-09,10,0
2010-10,10,0
2010-11,10,0
2010-12,8,0
2011-01,11,0
2011-02,10,0
2011-03,10,0
2011-04,11,0
2011-05,12,0
2011-06,11,0
2011-07,12,0
2011-08,12,0
2011-09,12,0
2011-10,9,0
2011-11,9,0
2011-12,9,0
2012-01,10,0
2012-02,9,0
2012-03,8,0
2012-04,10,0
2012-05,8,0
2012-06,14,0
2012-07,13,0
2012-08,12,0
2012-09,9,0
2012-10,9,0
2012-11,19,3
2012-12,7,0
2013-01,9,0
2013-02,9,0
2013-03,7,0
2013-04,8,0
2013-05,7,0
2013-06,9,0
2013-07,10,0
2013-08,9,0
2013-09,8,0
2013-10,10,0
2013-11,8,0
2013-12,6,0
2014-01,8,0
2014-02,9,0
2014-03,8,0
2014-04,7,0
2014-05,9,0
2014-06,9,0
2014-07,10,0
2014-08,12,0
2014-09,10,0
2014-10,9,0
2014-11,8,0
2014-12,7,0
2015-01,8,0
2015-02,8,0
2015-03,7,0
2015-04,8,0
2015-05,7,0
2015-06,12,0
2015-07,10,0
2015-08,11,0
2015-09,9,0
2015-10,9,0
2015-11,8,0
2015-12,11,0
2016-01,10,0
2016-02,14,0
2016-03,37,4
2016-04,14,0
2016-05,18,0
2016-06,15,0
2016-07,23,0
2016-08,17,0
2016-09,14,0
2016-10,14,0
